budget,iter,cos_to_bg,cos_to_orig,pooled_p_obj
4,0,0.5069,0.9999,0.9828
4,12,0.5410,0.9831,0.9769
4,24,0.5660,0.9577,0.9721
4,36,0.5848,0.9344,0.9671
4,48,0.5997,0.9139,0.9617
4,60,0.6118,0.8957,0.9565
4,72,0.6220,0.8802,0.9513
4,84,0.6305,0.8684,0.9461
4,96,0.6380,0.8588,0.9412
4,108,0.6446,0.8504,0.9362
4,120,0.6503,0.8433,0.9313
4,132,0.6536,0.8400,0.9290
4,144,0.6564,0.8366,0.9273
4,156,0.6588,0.8338,0.9255
4,168,0.6609,0.8312,0.9242
4,180,0.6629,0.8282,0.9219
4,192,0.6646,0.8251,0.9198
4,204,0.6661,0.8223,0.9187
4,216,0.6674,0.8204,0.9168
4,228,0.6686,0.8186,0.9149
4,240,0.6697,0.8166,0.9131
4,252,0.6709,0.8143,0.9104
4,264,0.6720,0.8126,0.9081
4,276,0.6729,0.8111,0.9061
4,288,0.6737,0.8099,0.9039
4,299,0.6742,0.8102,0.9029
8,0,0.5101,0.9994,0.9822
8,12,0.5672,0.9562,0.9715
8,24,0.5997,0.9136,0.9610
8,36,0.6212,0.8809,0.9504
8,48,0.6369,0.8602,0.9397
8,60,0.6490,0.8448,0.9310
8,72,0.6586,0.8317,0.9215
8,84,0.6667,0.8203,0.9099
8,96,0.6736,0.8103,0.8962
8,108,0.6796,0.8012,0.8823
8,120,0.6847,0.7938,0.8641
8,132,0.6884,0.7884,0.8488
8,144,0.6917,0.7839,0.8331
8,156,0.6945,0.7799,0.8206
8,168,0.6968,0.7770,0.8114
8,180,0.6988,0.7742,0.8038
8,192,0.7005,0.7720,0.7980
8,204,0.7019,0.7704,0.7944
8,216,0.7033,0.7687,0.7909
8,228,0.7045,0.7670,0.7864
8,240,0.7055,0.7659,0.7831
8,252,0.7064,0.7646,0.7798
8,264,0.7074,0.7635,0.7774
8,276,0.7081,0.7627,0.7741
8,288,0.7088,0.7618,0.7706
8,299,0.7089,0.7679,0.7575
16,0,0.5162,0.9979,0.9811
16,12,0.5991,0.9133,0.9601
16,24,0.6343,0.8635,0.9405
16,36,0.6552,0.8362,0.9212
16,48,0.6688,0.8202,0.8951
16,60,0.6783,0.8050,0.8708
16,72,0.6863,0.7933,0.8431
16,84,0.6928,0.7848,0.8133
16,96,0.6984,0.7777,0.7852
16,108,0.7033,0.7705,0.7557
16,120,0.7074,0.7661,0.7481
16,132,0.7107,0.7623,0.7378
16,144,0.7131,0.7635,0.7384
16,156,0.7154,0.7603,0.7195
16,168,0.7174,0.7581,0.7051
16,180,0.7190,0.7564,0.7002
16,192,0.7206,0.7552,0.7069
16,204,0.7223,0.7546,0.7652
16,216,0.7242,0.7492,0.7452
16,228,0.7253,0.7494,0.6672
16,240,0.7268,0.7469,0.6462
16,252,0.7278,0.7447,0.6324
16,264,0.7288,0.7439,0.6474
16,276,0.7303,0.7335,0.6300
16,288,0.7321,0.7320,0.6311
16,299,0.7331,0.7389,0.7380
