id,object,arm,seed,filename,cos_to_target,global_p_obj,roi_p_obj,grad_align
airplane,airplane,pad0,0,airplane__pad0_seed0.png,0.9817,0.9472,0.5358,nan
airplane,airplane,pad0,1,airplane__pad0_seed1.png,0.9772,0.9382,0.4886,nan
airplane,airplane,pad0,2,airplane__pad0_seed2.png,0.9816,0.9527,0.4933,nan
airplane,airplane,pad0,3,airplane__pad0_seed3.png,0.9781,0.9462,0.4920,nan
airplane,airplane,pad0,4,airplane__pad0_seed4.png,0.9799,0.9475,0.5042,nan
airplane,airplane,pad0.15,0,airplane__pad0.15_seed0.png,0.9820,0.9617,0.4687,nan
airplane,airplane,pad0.15,1,airplane__pad0.15_seed1.png,0.9743,0.9371,0.5033,nan
airplane,airplane,pad0.15,2,airplane__pad0.15_seed2.png,0.9809,0.9573,0.5140,nan
airplane,airplane,pad0.15,3,airplane__pad0.15_seed3.png,0.9791,0.9557,0.4843,nan
airplane,airplane,pad0.15,4,airplane__pad0.15_seed4.png,0.9812,0.9430,0.4911,nan
airplane,airplane,edge_v1,0,airplane__edge_v1_seed0.png,0.9846,0.9508,0.4565,nan
airplane,airplane,edge_v1,1,airplane__edge_v1_seed1.png,0.9841,0.9469,0.4821,nan
airplane,airplane,edge_v1,2,airplane__edge_v1_seed2.png,0.9847,0.9540,0.4426,nan
airplane,airplane,edge_v1,3,airplane__edge_v1_seed3.png,0.9828,0.9544,0.4458,nan
airplane,airplane,edge_v1,4,airplane__edge_v1_seed4.png,0.9834,0.9510,0.5102,nan
airplane,airplane,edge_v2,0,airplane__edge_v2_seed0.png,0.9802,0.9475,0.4609,-0.0009
airplane,airplane,edge_v2,1,airplane__edge_v2_seed1.png,0.9790,0.9432,0.5192,-0.0002
airplane,airplane,edge_v2,2,airplane__edge_v2_seed2.png,0.9818,0.9421,0.4988,-0.0008
airplane,airplane,edge_v2,3,airplane__edge_v2_seed3.png,0.9790,0.9485,0.4618,-0.0015
airplane,airplane,edge_v2,4,airplane__edge_v2_seed4.png,0.9819,0.9428,0.5075,-0.0012
plane,plane,pad0,0,plane__pad0_seed0.png,0.9949,0.9159,0.2290,nan
plane,plane,pad0,1,plane__pad0_seed1.png,0.9941,0.9196,0.3444,nan
plane,plane,pad0,2,plane__pad0_seed2.png,0.9944,0.9284,0.3912,nan
plane,plane,pad0,3,plane__pad0_seed3.png,0.9949,0.9201,0.2248,nan
plane,plane,pad0,4,plane__pad0_seed4.png,0.9931,0.9171,0.2704,nan
plane,plane,pad0.15,0,plane__pad0.15_seed0.png,0.9928,0.9142,0.3243,nan
plane,plane,pad0.15,1,plane__pad0.15_seed1.png,0.9888,0.9303,0.2780,nan
plane,plane,pad0.15,2,plane__pad0.15_seed2.png,0.9933,0.9196,0.3112,nan
plane,plane,pad0.15,3,plane__pad0.15_seed3.png,0.9922,0.9271,0.2454,nan
plane,plane,pad0.15,4,plane__pad0.15_seed4.png,0.9901,0.9257,0.2659,nan
plane,plane,edge_v1,0,plane__edge_v1_seed0.png,0.9949,0.9283,0.2871,nan
plane,plane,edge_v1,1,plane__edge_v1_seed1.png,0.9957,0.9336,0.2614,nan
plane,plane,edge_v1,2,plane__edge_v1_seed2.png,0.9963,0.9331,0.2595,nan
plane,plane,edge_v1,3,plane__edge_v1_seed3.png,0.9957,0.9352,0.3276,nan
plane,plane,edge_v1,4,plane__edge_v1_seed4.png,0.9945,0.9327,0.2350,nan
plane,plane,edge_v2,0,plane__edge_v2_seed0.png,0.9950,0.9203,0.2094,0.0118
plane,plane,edge_v2,1,plane__edge_v2_seed1.png,0.9957,0.9202,0.2638,0.0114
plane,plane,edge_v2,2,plane__edge_v2_seed2.png,0.9951,0.9242,0.2603,0.0111
plane,plane,edge_v2,3,plane__edge_v2_seed3.png,0.9952,0.9227,0.2395,0.0119
plane,plane,edge_v2,4,plane__edge_v2_seed4.png,0.9934,0.9138,0.2322,0.0155
car,car,pad0,0,car__pad0_seed0.png,0.9868,0.9112,0.5186,nan
car,car,pad0,1,car__pad0_seed1.png,0.9895,0.8906,0.4760,nan
car,car,pad0,2,car__pad0_seed2.png,0.9888,0.9075,0.4650,nan
car,car,pad0,3,car__pad0_seed3.png,0.9864,0.9119,0.5149,nan
car,car,pad0,4,car__pad0_seed4.png,0.9895,0.9140,0.5877,nan
car,car,pad0.15,0,car__pad0.15_seed0.png,0.9782,0.8460,0.5641,nan
car,car,pad0.15,1,car__pad0.15_seed1.png,0.9807,0.8129,0.6157,nan
car,car,pad0.15,2,car__pad0.15_seed2.png,0.9815,0.8926,0.5422,nan
car,car,pad0.15,3,car__pad0.15_seed3.png,0.9775,0.8571,0.5989,nan
car,car,pad0.15,4,car__pad0.15_seed4.png,0.9756,0.8462,0.5765,nan
car,car,edge_v1,0,car__edge_v1_seed0.png,0.9813,0.8433,0.5588,nan
car,car,edge_v1,1,car__edge_v1_seed1.png,0.9876,0.8512,0.6128,nan
car,car,edge_v1,2,car__edge_v1_seed2.png,0.9876,0.8851,0.5826,nan
car,car,edge_v1,3,car__edge_v1_seed3.png,0.9854,0.8718,0.5593,nan
car,car,edge_v1,4,car__edge_v1_seed4.png,0.9893,0.8581,0.5662,nan
car,car,edge_v2,0,car__edge_v2_seed0.png,0.9871,0.8565,0.4729,0.0104
car,car,edge_v2,1,car__edge_v2_seed1.png,0.9887,0.9049,0.5020,0.0060
car,car,edge_v2,2,car__edge_v2_seed2.png,0.9898,0.8977,0.5222,0.0057
car,car,edge_v2,3,car__edge_v2_seed3.png,0.9876,0.9128,0.5240,0.0040
car,car,edge_v2,4,car__edge_v2_seed4.png,0.9899,0.8712,0.4959,0.0045
cat,cat,pad0,0,cat__pad0_seed0.png,0.9509,0.0085,0.0509,nan
cat,cat,pad0,1,cat__pad0_seed1.png,0.9918,0.0044,0.1602,nan
cat,cat,pad0,2,cat__pad0_seed2.png,0.9785,0.0028,0.0532,nan
cat,cat,pad0,3,cat__pad0_seed3.png,0.9781,0.0042,0.0213,nan
cat,cat,pad0,4,cat__pad0_seed4.png,0.9675,0.0042,0.0679,nan
cat,cat,pad0.15,0,cat__pad0.15_seed0.png,0.9796,0.0080,0.0822,nan
cat,cat,pad0.15,1,cat__pad0.15_seed1.png,0.9531,0.0064,0.0837,nan
cat,cat,pad0.15,2,cat__pad0.15_seed2.png,0.9602,0.0459,0.4466,nan
cat,cat,pad0.15,3,cat__pad0.15_seed3.png,0.9716,0.0041,0.0884,nan
cat,cat,pad0.15,4,cat__pad0.15_seed4.png,0.9618,0.0037,0.1269,nan
cat,cat,edge_v1,0,cat__edge_v1_seed0.png,0.9803,0.0031,0.0542,nan
cat,cat,edge_v1,1,cat__edge_v1_seed1.png,0.9858,0.0040,0.0759,nan
cat,cat,edge_v1,2,cat__edge_v1_seed2.png,0.9823,0.0086,0.1562,nan
cat,cat,edge_v1,3,cat__edge_v1_seed3.png,0.9784,0.0050,0.1548,nan
cat,cat,edge_v1,4,cat__edge_v1_seed4.png,0.9735,0.0023,0.0803,nan
