id,object,arm,seed,filename,cos_to_target,global_p_obj,roi_p_obj,grad_align
plane,plane,pad0,0,plane__pad0_seed0.png,0.9955,0.9187,0.2827,nan
plane,plane,pad0,1,plane__pad0_seed1.png,0.9954,0.9217,0.3439,nan
plane,plane,pad0,2,plane__pad0_seed2.png,0.9938,0.9256,0.3603,nan
plane,plane,pad0,3,plane__pad0_seed3.png,0.9949,0.9223,0.2740,nan
plane,plane,pad0,4,plane__pad0_seed4.png,0.9932,0.9203,0.3469,nan
plane,plane,pad0.15,0,plane__pad0.15_seed0.png,0.9920,0.9228,0.2463,nan
plane,plane,pad0.15,1,plane__pad0.15_seed1.png,0.9899,0.9139,0.2546,nan
plane,plane,pad0.15,2,plane__pad0.15_seed2.png,0.9937,0.9222,0.2321,nan
plane,plane,pad0.15,3,plane__pad0.15_seed3.png,0.9925,0.9308,0.2695,nan
plane,plane,pad0.15,4,plane__pad0.15_seed4.png,0.9882,0.9214,0.2911,nan
plane,plane,edge_v1,0,plane__edge_v1_seed0.png,0.9953,0.9271,0.2716,nan
plane,plane,edge_v1,1,plane__edge_v1_seed1.png,0.9961,0.9295,0.2514,nan
plane,plane,edge_v1,2,plane__edge_v1_seed2.png,0.9962,0.9269,0.3505,nan
plane,plane,edge_v1,3,plane__edge_v1_seed3.png,0.9961,0.9335,0.2366,nan
plane,plane,edge_v1,4,plane__edge_v1_seed4.png,0.9947,0.9293,0.2867,nan
plane,plane,edge_v2,0,plane__edge_v2_seed0.png,0.9956,0.9218,0.2738,0.0126
plane,plane,edge_v2,1,plane__edge_v2_seed1.png,0.9949,0.9132,0.2495,0.0115
plane,plane,edge_v2,2,plane__edge_v2_seed2.png,0.9954,0.9236,0.3276,0.0113
plane,plane,edge_v2,3,plane__edge_v2_seed3.png,0.9958,0.9233,0.2584,0.0115
plane,plane,edge_v2,4,plane__edge_v2_seed4.png,0.9917,0.9143,0.3310,0.0146
plane_no_text,plane,pad0,0,plane_no_text__pad0_seed0.png,0.9974,0.9225,0.3268,nan
plane_no_text,plane,pad0,1,plane_no_text__pad0_seed1.png,0.9973,0.9238,0.4181,nan
plane_no_text,plane,pad0,2,plane_no_text__pad0_seed2.png,0.9963,0.9272,0.3601,nan
plane_no_text,plane,pad0,3,plane_no_text__pad0_seed3.png,0.9973,0.9243,0.3069,nan
plane_no_text,plane,pad0,4,plane_no_text__pad0_seed4.png,0.9953,0.9246,0.3372,nan
plane_no_text,plane,pad0.15,0,plane_no_text__pad0.15_seed0.png,0.9934,0.9265,0.4012,nan
plane_no_text,plane,pad0.15,1,plane_no_text__pad0.15_seed1.png,0.9943,0.9317,0.4651,nan
plane_no_text,plane,pad0.15,2,plane_no_text__pad0.15_seed2.png,0.9948,0.9244,0.4426,nan
plane_no_text,plane,pad0.15,3,plane_no_text__pad0.15_seed3.png,0.9944,0.9162,0.3949,nan
plane_no_text,plane,pad0.15,4,plane_no_text__pad0.15_seed4.png,0.9887,0.9273,0.5242,nan
plane_no_text,plane,edge_v1,0,plane_no_text__edge_v1_seed0.png,0.9964,0.9288,0.2924,nan
plane_no_text,plane,edge_v1,1,plane_no_text__edge_v1_seed1.png,0.9962,0.9350,0.3636,nan
plane_no_text,plane,edge_v1,2,plane_no_text__edge_v1_seed2.png,0.9969,0.9336,0.4613,nan
plane_no_text,plane,edge_v1,3,plane_no_text__edge_v1_seed3.png,0.9970,0.9259,0.3279,nan
plane_no_text,plane,edge_v1,4,plane_no_text__edge_v1_seed4.png,0.9952,0.9368,0.3592,nan
plane_no_text,plane,edge_v2,0,plane_no_text__edge_v2_seed0.png,0.9976,0.9242,0.3464,0.0121
plane_no_text,plane,edge_v2,1,plane_no_text__edge_v2_seed1.png,0.9969,0.9211,0.3071,0.0115
plane_no_text,plane,edge_v2,2,plane_no_text__edge_v2_seed2.png,0.9971,0.9266,0.3525,0.0107
plane_no_text,plane,edge_v2,3,plane_no_text__edge_v2_seed3.png,0.9979,0.9194,0.2608,0.0115
plane_no_text,plane,edge_v2,4,plane_no_text__edge_v2_seed4.png,0.9969,0.9306,0.3168,0.0126
school_zone_sign,speed sign,pad0,0,school_zone_sign__pad0_seed0.png,0.9401,0.9994,0.3119,nan
school_zone_sign,speed sign,pad0,1,school_zone_sign__pad0_seed1.png,0.9393,0.9992,0.3141,nan
school_zone_sign,speed sign,pad0,2,school_zone_sign__pad0_seed2.png,0.9410,0.9997,0.2844,nan
school_zone_sign,speed sign,pad0,3,school_zone_sign__pad0_seed3.png,0.9410,0.9993,0.2195,nan
school_zone_sign,speed sign,pad0,4,school_zone_sign__pad0_seed4.png,0.9413,0.9993,0.2922,nan
school_zone_sign,speed sign,pad0.15,0,school_zone_sign__pad0.15_seed0.png,0.9506,0.9986,0.2635,nan
school_zone_sign,speed sign,pad0.15,1,school_zone_sign__pad0.15_seed1.png,0.9553,0.9983,0.2553,nan
school_zone_sign,speed sign,pad0.15,2,school_zone_sign__pad0.15_seed2.png,0.9527,0.9981,0.3206,nan
school_zone_sign,speed sign,pad0.15,3,school_zone_sign__pad0.15_seed3.png,0.9558,0.9982,0.2984,nan
school_zone_sign,speed sign,pad0.15,4,school_zone_sign__pad0.15_seed4.png,0.9542,0.9982,0.3653,nan
school_zone_sign,speed sign,edge_v1,0,school_zone_sign__edge_v1_seed0.png,0.9669,0.9917,0.3230,nan
school_zone_sign,speed sign,edge_v1,1,school_zone_sign__edge_v1_seed1.png,0.9677,0.9937,0.2394,nan
school_zone_sign,speed sign,edge_v1,2,school_zone_sign__edge_v1_seed2.png,0.9617,0.9960,0.2495,nan
school_zone_sign,speed sign,edge_v1,3,school_zone_sign__edge_v1_seed3.png,0.9696,0.9936,0.2824,nan
school_zone_sign,speed sign,edge_v1,4,school_zone_sign__edge_v1_seed4.png,0.9624,0.9950,0.3167,nan
school_zone_sign,speed sign,edge_v2,0,school_zone_sign__edge_v2_seed0.png,0.9465,0.9993,0.2654,0.0035
school_zone_sign,speed sign,edge_v2,1,school_zone_sign__edge_v2_seed1.png,0.9402,0.9995,0.2220,0.0041
school_zone_sign,speed sign,edge_v2,2,school_zone_sign__edge_v2_seed2.png,0.9449,0.9989,0.2574,-0.0008
school_zone_sign,speed sign,edge_v2,3,school_zone_sign__edge_v2_seed3.png,0.9406,0.9993,0.1995,0.0008
school_zone_sign,speed sign,edge_v2,4,school_zone_sign__edge_v2_seed4.png,0.9434,0.9995,0.2383,-0.0014
school_zone_sign_no_text,speed sign,pad0,0,school_zone_sign_no_text__pad0_seed0.png,0.9682,0.9946,0.1855,nan
school_zone_sign_no_text,speed sign,pad0,1,school_zone_sign_no_text__pad0_seed1.png,0.9692,0.9929,0.2070,nan
school_zone_sign_no_text,speed sign,pad0,2,school_zone_sign_no_text__pad0_seed2.png,0.9704,0.9910,0.2240,nan
