mode,pad,coverage,seed,filename,cos_to_target,global_p_dog,roi_p_dog,delta_mean_frac,delta_linf_frac,frac_at_cap
h1,0,0.2219,0,pad0_seed0.png,0.8855,0.1962,0.5906,0.6734,1.0000,0.3410
h1,0,0.2219,1,pad0_seed1.png,0.8902,0.0831,0.6176,0.6781,1.0000,0.3476
h1,0,0.2219,2,pad0_seed2.png,0.8991,0.0762,0.5920,0.6758,1.0000,0.3459
h1,0,0.2219,3,pad0_seed3.png,0.8749,0.0770,0.5786,0.6791,1.0000,0.3495
h1,0,0.2219,4,pad0_seed4.png,0.8577,0.1715,0.6350,0.6754,1.0000,0.3429
h1,0.05,0.3307,0,pad0.05_seed0.png,0.8863,0.0563,0.3237,0.6620,1.0000,0.3304
h1,0.05,0.3307,1,pad0.05_seed1.png,0.9591,0.0004,0.0920,0.6690,1.0000,0.3388
h1,0.05,0.3307,2,pad0.05_seed2.png,0.8849,0.0382,0.3016,0.6691,1.0000,0.3374
h1,0.05,0.3307,3,pad0.05_seed3.png,0.9470,0.0159,0.3051,0.6706,1.0000,0.3401
h1,0.05,0.3307,4,pad0.05_seed4.png,0.9627,0.0004,0.1351,0.6643,1.0000,0.3349
h1,0.15,0.5887,0,pad0.15_seed0.png,0.9553,0.0008,0.1308,0.6635,1.0000,0.3427
h1,0.15,0.5887,1,pad0.15_seed1.png,0.9567,0.0003,0.0647,0.6598,1.0000,0.3389
h1,0.15,0.5887,2,pad0.15_seed2.png,0.9644,0.0004,0.0842,0.6667,1.0000,0.3504
h1,0.15,0.5887,3,pad0.15_seed3.png,0.9641,0.0006,0.0739,0.6592,1.0000,0.3363
h1,0.15,0.5887,4,pad0.15_seed4.png,0.9292,0.0016,0.2045,0.6631,1.0000,0.3396
h1,0.35,0.9851,0,pad0.35_seed0.png,0.9196,0.0049,0.0684,0.6675,1.0000,0.3528
h1,0.35,0.9851,1,pad0.35_seed1.png,0.9460,0.0003,0.0931,0.6642,1.0000,0.3499
h1,0.35,0.9851,2,pad0.35_seed2.png,0.9336,0.0019,0.1830,0.6641,1.0000,0.3511
h1,0.35,0.9851,3,pad0.35_seed3.png,0.9281,0.0013,0.0905,0.6578,1.0000,0.3422
h1,0.35,0.9851,4,pad0.35_seed4.png,0.9266,0.0014,0.0456,0.6630,1.0000,0.3479
h1,1,1.0000,0,pad1_seed0.png,0.9376,0.0013,0.0921,0.6673,1.0000,0.3585
h1,1,1.0000,1,pad1_seed1.png,0.9457,0.0005,0.0601,0.6654,1.0000,0.3523
h1,1,1.0000,2,pad1_seed2.png,0.9291,0.0020,0.0482,0.6670,1.0000,0.3582
h1,1,1.0000,3,pad1_seed3.png,0.9332,0.0009,0.0835,0.6547,1.0000,0.3409
h1,1,1.0000,4,pad1_seed4.png,0.9223,0.0023,0.0574,0.6613,1.0000,0.3508
