mode,pad,coverage,seed,filename,cos_to_target,global_p_dog,roi_p_dog,delta_mean_frac,delta_linf_frac,frac_at_cap
local,0,0.2219,0,pad0_seed0.png,0.7551,0.4899,0.6331,0.5802,1.0000,0.3670
local,0,0.2219,1,pad0_seed1.png,0.7705,0.4694,0.6517,0.6351,1.0000,0.4452
local,0,0.2219,2,pad0_seed2.png,0.7189,0.6905,0.6245,0.6662,1.0000,0.4726
local,0,0.2219,3,pad0_seed3.png,0.7515,0.4832,0.6165,0.7934,1.0000,0.5875
local,0,0.2219,4,pad0_seed4.png,0.7593,0.4078,0.5903,0.5338,1.0000,0.2992
local,0.05,0.3307,0,pad0.05_seed0.png,0.7479,0.4987,0.7053,0.6547,1.0000,0.3615
local,0.05,0.3307,1,pad0.05_seed1.png,0.7242,0.6361,0.6985,0.7239,1.0000,0.4251
local,0.05,0.3307,2,pad0.05_seed2.png,0.7221,0.5918,0.6835,0.6928,1.0000,0.4073
local,0.05,0.3307,3,pad0.05_seed3.png,0.7269,0.7733,0.6280,0.6812,1.0000,0.3634
local,0.05,0.3307,4,pad0.05_seed4.png,0.7001,0.7375,0.6892,0.7464,1.0000,0.4963
local,0.15,0.5887,0,pad0.15_seed0.png,0.7184,0.6655,0.6522,0.6913,1.0000,0.3968
local,0.15,0.5887,1,pad0.15_seed1.png,0.7701,0.5126,0.5394,0.6662,1.0000,0.3650
local,0.15,0.5887,2,pad0.15_seed2.png,0.7422,0.5474,0.5493,0.6759,1.0000,0.3683
local,0.15,0.5887,3,pad0.15_seed3.png,0.7787,0.4558,0.5467,0.6616,1.0000,0.3372
local,0.15,0.5887,4,pad0.15_seed4.png,0.7558,0.4070,0.5947,0.6647,1.0000,0.3520
local,0.35,0.9851,0,pad0.35_seed0.png,0.9325,0.0020,0.1113,0.6637,1.0000,0.3558
local,0.35,0.9851,1,pad0.35_seed1.png,0.9273,0.0012,0.0516,0.6640,1.0000,0.3442
local,0.35,0.9851,2,pad0.35_seed2.png,0.9115,0.0008,0.0766,0.6563,1.0000,0.3350
local,0.35,0.9851,3,pad0.35_seed3.png,0.9148,0.0004,0.1042,0.6635,1.0000,0.3512
local,0.35,0.9851,4,pad0.35_seed4.png,0.9196,0.0011,0.0957,0.6631,1.0000,0.3512
local,1,1.0000,0,pad1_seed0.png,0.9301,0.0009,0.0475,0.6679,1.0000,0.3576
local,1,1.0000,1,pad1_seed1.png,0.9204,0.0016,0.1314,0.6634,1.0000,0.3460
local,1,1.0000,2,pad1_seed2.png,0.8987,0.0234,0.2315,0.6685,1.0000,0.3621
local,1,1.0000,3,pad1_seed3.png,0.9190,0.0021,0.0851,0.6577,1.0000,0.3440
local,1,1.0000,4,pad1_seed4.png,0.9141,0.0064,0.1218,0.6612,1.0000,0.3519
