t,linf,l2,p_obj_mean,p_obj_max,cls_sim_obj,cls_sim_couch,cos_to_orig,cos_to_removed,drift_obj,drift_ring,drift_far
0.000000,0.000000,0.000000,0.863537,0.999560,0.276204,0.254697,1.000000,0.590722,0.000000,-0.000000,-0.000000
0.010000,0.009804,4.750216,0.863026,0.999575,0.276054,0.254792,0.999734,0.590475,0.000266,0.000122,0.000101
0.020000,0.019608,9.500431,0.862210,0.999596,0.275972,0.254926,0.999600,0.590308,0.000400,0.000241,0.000055
0.030000,0.029412,14.250646,0.863224,0.999597,0.275725,0.254521,0.999358,0.590114,0.000642,0.000491,0.000141
0.050000,0.049020,23.751077,0.859882,0.999642,0.275572,0.254574,0.998620,0.589730,0.001380,0.001191,0.000288
0.080000,0.078431,38.001724,0.861240,0.999686,0.275322,0.254220,0.996773,0.588876,0.003227,0.002499,0.000650
0.100000,0.098039,47.502155,0.862265,0.999705,0.275360,0.254141,0.994890,0.587501,0.005110,0.003801,0.001002
0.120000,0.117647,57.002583,0.864369,0.999727,0.275230,0.253838,0.992817,0.586758,0.007183,0.005276,0.001475
0.150000,0.147059,71.253232,0.867813,0.999742,0.275317,0.253485,0.988901,0.585830,0.011099,0.007706,0.002133
0.200000,0.196078,95.004309,0.867928,0.999762,0.275943,0.253299,0.980096,0.583979,0.019904,0.013387,0.003767
0.250000,0.245098,118.755386,0.869400,0.999781,0.277213,0.253714,0.969088,0.582599,0.030912,0.020807,0.005985
0.300000,0.294118,142.506464,0.868726,0.999775,0.279265,0.254815,0.955140,0.581900,0.044861,0.030213,0.008552
0.350000,0.343137,166.257541,0.869026,0.999777,0.281845,0.256420,0.938912,0.582128,0.061088,0.041160,0.011462
0.400000,0.392157,190.008618,0.872595,0.999750,0.285204,0.258934,0.918321,0.582996,0.081678,0.053946,0.015025
0.450000,0.441176,213.759695,0.874698,0.999739,0.288693,0.261923,0.894072,0.583199,0.105928,0.068471,0.019139
0.500000,0.490196,237.510773,0.868151,0.999698,0.291805,0.264127,0.865551,0.583903,0.134449,0.083819,0.023918
0.550000,0.539216,261.261850,0.853247,0.999663,0.293860,0.266640,0.827790,0.584369,0.172210,0.101264,0.029930
0.600000,0.588235,285.012927,0.814103,0.999579,0.290793,0.269523,0.776049,0.586405,0.223951,0.121305,0.039021
0.650000,0.637255,308.764005,0.727736,0.998961,0.280759,0.275348,0.729860,0.601527,0.270140,0.142934,0.050110
0.700000,0.686275,332.515082,0.678892,0.997586,0.279448,0.286785,0.695030,0.638052,0.304970,0.167241,0.061734
0.750000,0.735294,356.266159,0.532300,0.994959,0.260105,0.292269,0.651587,0.683898,0.348413,0.196484,0.080836
0.800000,0.784314,380.017236,0.268860,0.957015,0.247416,0.310501,0.605655,0.760010,0.394345,0.230802,0.109921
0.850000,0.833333,403.768314,0.097286,0.865854,0.216950,0.312769,0.599163,0.836210,0.400837,0.239906,0.119289
0.900000,0.882353,427.519391,0.045259,0.725162,0.211637,0.312834,0.589186,0.914731,0.410814,0.240274,0.118479
0.950000,0.931373,451.270468,0.060147,0.755111,0.210509,0.312611,0.589730,0.974056,0.410270,0.239115,0.117458
1.000000,0.980392,475.021545,0.071564,0.666307,0.210903,0.313890,0.590722,1.000000,0.409278,0.239180,0.117283
